SYMBOL	logFC	logCPM	PValue	FDR	tests	ENTREZID
PTGS2	-5.118915121450795	7.387243413285156	0	0	-1	5743
CP	-4.933358130175193	6.494855966489005	0	0	-1	1356
NTS	-4.487416604312812	6.6752737703363065	0	0	-1	4922
INSL4	-2.381547913706814	6.5923515655870695	0	0	-1	3641
AKAP12	-1.9312145040972697	8.218071246748194	0	0	-1	9590
CLU	-1.721182561492522	9.016532394180352	0	0	-1	1191
HMGCS1	-1.4584015737156542	9.36270892544562	0	0	-1	3157
COL5A1	5.461754997299783	5.998330946076259	0	0	1	1289
MAP2	-2.1818801527177265	6.602012659371779	2.7714885697295e-311	4.637624206680644e-308	-1	4133
SLC2A3	-1.5881593583370353	7.987420636722599	2.8595451739164564e-308	4.3064750319181835e-305	-1	6515
PDK4	-2.205147286959704	6.911143906826989	1.0789806422517021e-305	1.4772225883918756e-302	-1	5166
CNTN1	-1.5845163161511389	8.228675246360021	2.5838085081004993e-301	3.2426796776661266e-298	-1	1272
CD24	1.6437939069189111	7.784386521719464	9.611246119977199e-298	1.1134258966681279e-294	1	100133941
GPRC5A	-1.6940291834382946	7.2657933909933465	2.15715938541852e-295	2.320487167457351e-292	-1	9052
PDLIM5	-1.3751603024944503	9.04450634639808	6.915218806133377e-281	6.942879681357911e-278	-1	10611
FGB	-3.7738545896813807	4.949742301604706	7.340890736605941e-274	6.909613405830342e-271	-1	2244
OPN3	-1.6652032646822261	7.2489866540502454	1.855352408407836e-271	1.6436239570954123e-268	-1	23596
FGA	-3.5945502786743915	4.961694321745767	1.2647782907743352e-267	1.0581978366145272e-264	-1	2243
PTPRF	1.6085227919510003	7.468730402693997	7.153127332217167e-241	5.66979461174687e-238	1	5792
ANXA10	-1.8998796445719	6.767870801394362	7.0569157912221085e-236	5.313857590790248e-233	-1	11199
PCSK9	-1.8036672881626095	6.4945775926316145	5.493735399739942e-234	3.939793100956358e-231	-1	255738
CD55	-1.708107438225688	6.641323461024081	2.3694213434915796e-232	1.6219766105901448e-229	-1	1604
AKR1C1	-1.3094237775043942	8.258450845368214	1.4716814389192895e-226	9.636314117445434e-224	-1	1645
AHR	-1.3872292315425583	7.4433211045228855	2.099429148450509e-226	1.3173917906526943e-223	-1	196
HMGB3	1.3785908663310205	8.464582764022582	2.2516693396335175e-226	1.3564056101952308e-223	1	3149
RGS2	1.5467504080592067	7.334515796799815	2.9724478826829872e-226	1.721733273584838e-223	1	5997
AKR1C3	-1.169471320653369	9.845019582008062	1.8967793494950646e-224	1.0579813704961362e-221	-1	8644
NR4A1	-2.4155379939514017	5.820816504672896	6.668165365778461e-221	3.5865203717365584e-218	-1	3164
OAS1	-2.203223226855755	6.090373696476055	4.457529005489821e-220	2.3148409249198864e-217	-1	4938
PRMT5	-1.5566989389299377	7.328321201216422	1.0834770838040579e-216	5.43905496069637e-214	-1	10419
TPM1	1.3837096269089586	7.86361178932047	3.208440005177828e-216	1.5586808541283255e-213	1	7168
FAM46A	-1.9112193602476233	6.357196025677395	3.3680009617727644e-214	1.5850654526343072e-211	-1	NA
AKR1C2	-1.1149599101853607	11.450765576342985	5.41281012818625e-211	2.4702097130449975e-208	-1	1646
PLA2G4A	-2.024363869944993	6.262639565710713	8.227160747726768e-210	3.644148260610739e-207	-1	5321
FLRT3	-2.832588017403648	5.117167241663649	6.798024801056166e-208	2.925092957254453e-205	-1	23767
FMN1	-2.19196566941312	5.971865637334048	8.926752563047533e-208	3.7343581555415513e-205	-1	342184
MARC1	-2.155390734004247	6.053974991098769	1.7356923874193595e-206	7.064737122847446e-204	-1	64757
DKK1	-1.1467404122964777	9.404935305696537	4.358219664329072e-202	1.7272312669683112e-199	-1	22943
TMED5	1.506079588318841	7.583278081331469	3.859596189290651e-201	1.4903979130953128e-198	1	50999
TFPI	-1.2633212057321	7.678297606559115	2.3959688838637224e-200	9.020822847746915e-198	-1	7035
PHLDA1	-1.371494126759245	7.245226226915944	2.1310424146955983e-199	7.827682625686758e-197	-1	22822
PRSS23	-1.1885423141703062	8.364503360932579	6.55698321682353e-194	2.351146839175294e-191	-1	11098
AXL	1.2589902917502875	8.30930248441231	7.659477145028565e-187	2.6825982745146555e-184	1	558
C12orf75	2.1856122456321216	6.209910202724605	1.512283198429797e-186	5.176132947352896e-184	1	387882
ANKRD52	-1.3213417024458263	7.44717948428236	3.5828827132614578e-183	1.1990714147048346e-180	-1	283373
