SYMBOL	logFC	logCPM	PValue	FDR	tests	ENTREZID
NTS	-4.6009804683823345	6.675273770850959	0	0	-1	4922
CP	-4.0691617827054545	6.494855966742549	0	0	-1	1356
PTGS2	-2.9508910721887185	7.387243412894309	0	0	-1	5743
AKAP12	-2.597399727560277	8.218071248487343	0	0	-1	9590
DAZAP2	-2.5950276853722998	7.234741820682531	0	0	-1	9802
HMGCS1	-1.6440210627581957	9.362708926389386	0	0	-1	3157
CLU	-1.5985097416788145	9.016532394884038	0	0	-1	1191
PDLIM5	-1.5812724981901218	9.044506347614185	0	0	-1	10611
AXL	1.6405618614084434	8.309302482171221	0	0	1	558
COL5A1	5.904592436425998	5.998330944478728	0	0	1	1289
YWHAG	-1.6495658689604238	8.271766262477366	7.5764510145e-314	1.03728502070756e-310	-1	7532
ETS2	2.151581993660574	6.866861065340586	2.49804269695e-313	3.13504358460683e-310	1	2114
HMGB3	1.5124711212116781	8.464582763181301	1.9223572130022662e-269	2.226976894447241e-266	1	3149
TMED5	1.7123123506057571	7.583278080099016	1.1853578074470867e-259	1.2751063271537944e-256	1	50999
INSL4	-2.0273200762949486	6.592351565777074	6.541102178041607e-249	6.567266586753772e-246	-1	3641
CD55	-1.876373704086826	6.64132346176385	2.6856741308672524e-248	2.5278907756788007e-245	-1	1604
TFPI	-1.4801862141167852	7.678297607554697	4.4530210644888054e-245	3.9448527783059646e-242	-1	7035
PTPRF	1.6350103273913812	7.468730402582562	2.342275699464856e-236	1.9597040018855968e-233	1	5792
AHR	-1.4809031328345876	7.44332110523186	7.551322546502338e-232	5.9854167131750106e-229	-1	196
FGB	-3.4200282626017495	4.949742301554187	9.172183757381188e-220	6.906654369308036e-217	-1	2244
DPYSL3	6.093277736570948	4.437417297801339	5.148883006574225e-206	3.6924846704289444e-203	1	1809
FGA	-3.170718958086488	4.961694321537228	1.2744974616517936e-205	8.724514442034548e-203	-1	2243
CA12	1.6020092490623599	7.080612905653282	9.367132684552855e-203	6.133435575189826e-200	1	771
MAP2	-1.63972477568128	6.602012659000549	1.0042593656377333e-200	6.3017275193767744e-198	-1	4133
MSMO1	-1.3941190235971543	7.465644397741271	3.510703088786977e-196	2.1148475406852746e-193	-1	6307
OPN3	-1.4410206046449974	7.248986654281566	7.551619534729127e-196	4.3741303920392547e-193	-1	23596
PCSK9	-1.7193069798846397	6.49457759249005	1.868812483887923e-195	1.0423820743463752e-192	-1	255738
SLC2A3	-1.2610425419025082	7.987420636672906	3.485616820608649e-193	1.874763904227367e-190	-1	6515
PMEPA1	1.5284095529810313	7.04670566133658	1.29430923179895e-191	6.721481734790409e-189	1	56937
