GO_ID	Symbol
GO:0050794	BMP2K
GO:0050794	AGAP3
GO:0050794	TADA1
GO:0050794	DDX60
GO:0050794	CBX1
GO:0050794	ABCA1
GO:0050794	ABCA2
GO:0050794	PODXL
GO:0050794	ABCA3
GO:0050794	ZNF280C
GO:0050794	PLXNB3
GO:0050794	PLXNB1
GO:0050794	SSX2IP
GO:0050794	PMAIP1
GO:0050794	ABR
GO:0050794	MLLT11
GO:0050794	PLK1
GO:0050794	KRBOX4
GO:0050794	PLP2
GO:0050794	DEPDC1
GO:0050794	PLXNA1
GO:0050794	LYAR
GO:0050794	PLCB4
GO:0050794	PLCB3
GO:0050794	PLAUR
GO:0050794	PLCG1
GO:0050794	DBF4
GO:0050794	SUB1
GO:0050794	ACTG1
GO:0050794	UBAC2
GO:0050794	PLD2
GO:0050794	DOCK10
GO:0050794	EHD1
GO:0050794	ZDHHC7
GO:0050794	ZNF511
GO:0050794	PPID
GO:0050794	CAMK2N1
GO:0050794	ACTN1
GO:0050794	NUS1
GO:0050794	PPM1B
GO:0050794	ACVR1
GO:0050794	RAB10
GO:0050794	LYPD1
GO:0050794	ADARB1
GO:0050794	MED1
GO:0050794	ADCY7
GO:0050794	RAB39B
GO:0050794	ADD2
GO:0050794	POLR2L
GO:0050794	POLR2I
GO:0050794	ADCY9
GO:0050794	FAM129A
GO:0050794	POU2F1
GO:0050794	POLH
GO:0050794	PARP1
GO:0050794	H2AFY2
GO:0050794	CNTROB
GO:0050794	SRCAP
GO:0050794	POLA1
GO:0050794	ADM
GO:0050794	ACAP3
GO:0050794	ADRA1B
GO:0050794	POLR2D
GO:0050794	POLR2A
GO:0050794	RUVBL2
GO:0050794	TMEM30A
GO:0050794	PRKAB2
GO:0050794	AP2B1
GO:0050794	ADRA2C
GO:0050794	SEPT11
GO:0050794	FAM46B
GO:0050794	JAG1
GO:0050794	PARVA
GO:0050794	ARHGAP33
GO:0050794	CHFR
GO:0050794	ALPK2
GO:0050794	CIT
GO:0050794	UHRF2
GO:0050794	ZFP64
GO:0050794	PPP2R5D
GO:0050794	PPP2R5C
GO:0050794	PPP4C
GO:0050794	AKT1
GO:0050794	PPP2R5E
GO:0050794	UBE2C
GO:0050794	RIOK2
GO:0050794	NUDT21
GO:0050794	TXLNG
GO:0050794	ALDH1A3
GO:0050794	PPP1R8
GO:0050794	PRR11
GO:0050794	DIDO1
GO:0050794	PPP1CA
GO:0050794	DUSP14
GO:0050794	EXOC1
GO:0050794	TOPBP1
GO:0050794	PPM1G
GO:0050794	PPP1CC
GO:0050794	HIST2H2AB
GO:0050794	H2AFJ
GO:0050794	ESCO1
GO:0050794	KANSL3
GO:0050794	MYSM1
GO:0050794	ELFN2
GO:0050794	RUFY2
GO:0050794	AKR1B1
GO:0050794	RAB35
GO:0050794	PRNP
GO:0050794	DNAJC3
GO:0050794	PRKRIR
GO:0050794	PRKX
GO:0050794	MID2
GO:0050794	PAPD7
GO:0050794	MAP2K1
GO:0050794	RNF157
GO:0050794	ASUN
GO:0050794	TRIM59
GO:0050794	MAPK8
GO:0050794	METAP2
GO:0050794	MAPK6
GO:0050794	FAM178A
GO:0050794	GCN1L1
GO:0050794	KCNQ1OT1
GO:0050794	PRKDC
GO:0050794	OSBPL7
GO:0050794	FERMT2
GO:0050794	NDC1
GO:0050794	PKN1
GO:0050794	ANXA3
GO:0050794	PRKCE
GO:0050794	ANXA2
GO:0050794	CCDC85B
GO:0050794	PRKAR2B
GO:0050794	PRKCA
GO:0050794	ANK2
GO:0050794	FRMD4A
GO:0050794	PKIB
GO:0050794	APEX1
GO:0050794	CMTM3
GO:0050794	RBM23
GO:0050794	PAX2
GO:0050794	BIRC5
GO:0050794	BIRC3
GO:0050794	RFWD3
GO:0050794	APLP2
GO:0050794	CEP55
GO:0050794	SHQ1
GO:0050794	PDCL
GO:0050794	PCBP1
GO:0050794	PACSIN2
GO:0050794	APAF1
GO:0050794	SP140
GO:0050794	RIF1
GO:0050794	RNF139
GO:0050794	PEBP1
GO:0050794	KIAA1551
GO:0050794	RPRD1A
GO:0050794	PAFAH1B1
GO:0050794	SBNO1
GO:0050794	SERPINE1
GO:0050794	ATAD3A
GO:0050794	PAK2
GO:0050794	LEPREL1
GO:0050794	ARNTL
GO:0050794	CEP250
GO:0050794	ARNT
GO:0050794	PKP3
GO:0050794	MAP4K5
GO:0050794	SUPT16H
GO:0050794	ARRB2
GO:0050794	PDGFRA
GO:0050794	PDGFB
GO:0050794	UACA
GO:0050794	RHOB
GO:0050794	STRAP
GO:0050794	ARF6
GO:0050794	PSIP1
GO:0050794	SERPINF1
GO:0050794	WDR6
GO:0050794	BAZ1A
GO:0050794	LZTS1
GO:0050794	RND3
GO:0050794	PCNT
GO:0050794	ASNS
GO:0050794	TMEM39B
GO:0050794	ARHGAP17
GO:0050794	JDP2
GO:0050794	CORO1A
GO:0050794	CDK16
GO:0050794	CDK17
GO:0050794	LEO1
GO:0050794	PDE1C
GO:0050794	WRAP53
GO:0050794	CDC42EP1
GO:0050794	PDE3B
GO:0050794	PDE4A
GO:0050794	KAT7
GO:0050794	HAUS2
GO:0050794	SBNO2
GO:0050794	PFN2
GO:0050794	CDK14
GO:0050794	CEP164
GO:0050794	ATP1B1
GO:0050794	RERE
GO:0050794	ATM
