GO_ID	Symbol
GO:0016126	PRKAA2
GO:0016126	PRKAG2
GO:0016126	LSS
GO:0016126	CES1
GO:0016126	SC5D
GO:0016126	EBP
GO:0016126	DHCR24
GO:0016126	DHCR7
GO:0016126	MVK
GO:0016126	GGPS1
GO:0016126	INSIG1
GO:0016126	ACAT2
GO:0016126	HSD17B7
GO:0016126	TM7SF2
GO:0016126	FDPS
GO:0016126	FDFT1
GO:0016126	CYB5R1
GO:0016126	LBR
GO:0016126	MVD
GO:0016126	CYP51A1
GO:0016126	SQLE
GO:0016126	HMGCR
GO:0016126	HMGCS1
GO:0016126	NSDHL
GO:0016126	MSMO1
GO:0016126	IDI1
GO:0016126	CFTR
GO:0006695	PRKAA2
GO:0006695	LSS
GO:0006695	CES1
GO:0006695	SC5D
GO:0006695	EBP
GO:0006695	DHCR24
GO:0006695	DHCR7
GO:0006695	MVK
GO:0006695	GGPS1
GO:0006695	INSIG1
GO:0006695	TM7SF2
GO:0006695	ACAT2
GO:0006695	HSD17B7
GO:0006695	FDPS
GO:0006695	FDFT1
GO:0006695	MVD
GO:0006695	LBR
GO:0006695	SQLE
GO:0006695	CYP51A1
GO:0006695	HMGCR
GO:0006695	HMGCS1
GO:0006695	NSDHL
GO:0006695	MSMO1
GO:0006695	IDI1
GO:0006695	CFTR
GO:1902653	PRKAA2
GO:1902653	LSS
GO:1902653	CES1
GO:1902653	SC5D
GO:1902653	EBP
GO:1902653	DHCR24
GO:1902653	DHCR7
GO:1902653	MVK
GO:1902653	GGPS1
GO:1902653	INSIG1
GO:1902653	TM7SF2
GO:1902653	ACAT2
GO:1902653	HSD17B7
GO:1902653	FDPS
GO:1902653	FDFT1
GO:1902653	LBR
GO:1902653	MVD
GO:1902653	CYP51A1
GO:1902653	SQLE
GO:1902653	HMGCR
GO:1902653	HMGCS1
GO:1902653	NSDHL
GO:1902653	MSMO1
GO:1902653	IDI1
GO:1902653	CFTR
GO:0016125	PRKAA2
GO:0016125	PRKAG2
GO:0016125	LSS
GO:0016125	CES1
GO:0016125	SC5D
GO:0016125	EBP
GO:0016125	DHCR24
GO:0016125	SCAP
GO:0016125	DHCR7
GO:0016125	NFE2L1
GO:0016125	CYP39A1
GO:0016125	MVK
GO:0016125	LDLRAP1
GO:0016125	CYP1B1
GO:0016125	GGPS1
GO:0016125	INSIG1
GO:0016125	GBA
GO:0016125	HSD17B7
GO:0016125	ACAT2
GO:0016125	TM7SF2
GO:0016125	FDPS
GO:0016125	FDFT1
GO:0016125	SCARB1
GO:0016125	NPC1
GO:0016125	TSKU
GO:0016125	CAT
GO:0016125	CYB5R1
