GO_ID	Symbol
GO:0050789	BMP2K
GO:0050789	AGAP3
GO:0050789	TADA1
GO:0050789	DDX60
GO:0050789	HNRNPA0
GO:0050789	CBX1
GO:0050789	ABCA1
GO:0050789	ABCA2
GO:0050789	ZNF280C
GO:0050789	PODXL
GO:0050789	ABCA3
GO:0050789	PLXNB1
GO:0050789	ABL1
GO:0050789	SSX2IP
GO:0050789	PMAIP1
GO:0050789	LMAN2
GO:0050789	ABR
GO:0050789	YWHAQ
GO:0050789	PNRC2
GO:0050789	PLK1
GO:0050789	BRD8
GO:0050789	ACLY
GO:0050789	KRBOX4
GO:0050789	DEPDC1
GO:0050789	PLP2
GO:0050789	LYAR
GO:0050789	PLXNA2
GO:0050789	TRIM6
GO:0050789	PLCB4
GO:0050789	PLCB3
GO:0050789	ACTB
GO:0050789	RNPS1
GO:0050789	ACTA2
GO:0050789	SPIN1
GO:0050789	PLCG1
GO:0050789	DBF4
GO:0050789	PLD2
GO:0050789	ZDHHC7
GO:0050789	CAMK2N1
GO:0050789	ACTL6A
GO:0050789	ACTN1
GO:0050789	STRADB
GO:0050789	FAM122A
GO:0050789	RAB10
GO:0050789	LYPD1
GO:0050789	LRRC59
GO:0050789	ADA
GO:0050789	ADCY7
GO:0050789	RAB39B
GO:0050789	CDCA7L
GO:0050789	PLIN2
GO:0050789	ADD2
GO:0050789	ADD1
GO:0050789	ZBTB42
GO:0050789	FAM129A
GO:0050789	POLH
GO:0050789	PARP1
GO:0050789	H2AFY2
GO:0050789	PPP1R13L
GO:0050789	CNTROB
GO:0050789	PDE10A
GO:0050789	CLPX
GO:0050789	ADRA1B
GO:0050789	POLR2D
GO:0050789	ADRA1D
GO:0050789	RUVBL2
GO:0050789	AP2A2
GO:0050789	AP2A1
GO:0050789	AP2B1
GO:0050789	PRKACB
GO:0050789	NUP133
GO:0050789	ADRA2C
GO:0050789	SEPT11
GO:0050789	JAG1
GO:0050789	ARHGAP33
GO:0050789	ALPK2
GO:0050789	ATF7IP
GO:0050789	CIT
GO:0050789	UHRF2
GO:0050789	ZFP64
GO:0050789	PPP2R5D
GO:0050789	PPP2R5C
GO:0050789	PPP2R5A
GO:0050789	PPP4C
GO:0050789	AKT1
GO:0050789	CTHRC1
GO:0050789	PPP2R5E
GO:0050789	UBE2C
GO:0050789	NUDT21
GO:0050789	EXOC2
GO:0050789	FOXP4
GO:0050789	PRR11
GO:0050789	EXOC1
