GO_ID	Group	Description	FDR	Enrichment
GO:0006810	prmt5_down	transport	8.38e-17	1.3
GO:0051234	prmt5_down	establishment of localization	7.62e-15	1.27
GO:0006629	prmt5_down	lipid metabolic process	5.81e-15	1.61
GO:0044255	prmt5_down	cellular lipid metabolic process	2.89e-11	1.59
GO:0045047	prmt5_down	protein targeting to ER	1.23e-10	2.67
GO:0051179	prmt5_down	localization	1.51e-10	1.21
GO:0043603	prmt5_down	cellular amide metabolic process	2.35e-10	1.68
GO:0070972	prmt5_down	protein localization to endoplasmic reticulum	2.88e-10	2.5
GO:0071702	prmt5_down	organic substance transport	3.54e-10	1.34
GO:0072599	prmt5_down	establishment of protein localization to endoplasmic reticulum	5.14e-10	2.57
GO:0006612	prmt5_down	protein targeting to membrane	6.98e-10	2.31
GO:0006613	prmt5_down	cotranslational protein targeting to membrane	8.51e-10	2.66
GO:0008203	prmt5_down	cholesterol metabolic process	1.11e-9	2.7
GO:0016125	prmt5_down	sterol metabolic process	2.27e-9	2.58
GO:0006614	prmt5_down	SRP-dependent cotranslational protein targeting to membrane	2.64e-9	2.68
GO:1902652	prmt5_down	secondary alcohol metabolic process	2.72e-9	2.64
GO:0006605	prmt5_down	protein targeting	2.57e-9	1.85
GO:0008610	prmt5_down	lipid biosynthetic process	3.82e-9	1.67
GO:0044281	prmt5_down	small molecule metabolic process	6.3e-9	1.36
GO:0042886	prmt5_down	amide transport	7.71e-9	1.39
GO:0008202	prmt5_down	steroid metabolic process	1.57e-8	2.11
GO:0015833	prmt5_down	peptide transport	3.17e-8	1.38
GO:0006518	prmt5_down	peptide metabolic process	8.13e-8	1.79
GO:0015031	prmt5_down	protein transport	8.2e-8	1.37
GO:0006695	prmt5_down	cholesterol biosynthetic process	1.29e-7	3.44
GO:1902653	prmt5_down	secondary alcohol biosynthetic process	1.24e-7	3.44
GO:0016192	prmt5_down	vesicle-mediated transport	1.24e-7	1.34
GO:0009056	prmt5_down	catabolic process	1.3e-7	1.3
GO:1901615	prmt5_down	organic hydroxy compound metabolic process	1.31e-7	1.73
GO:0016126	prmt5_down	sterol biosynthetic process	1.89e-7	3.3
GO:1901564	prmt5_down	organonitrogen compound metabolic process	3.08e-7	1.16
GO:0006631	prmt5_down	fatty acid metabolic process	3.51e-7	1.84
GO:0044248	prmt5_down	cellular catabolic process	4.46e-7	1.31
GO:0046903	prmt5_down	secretion	4.82e-7	1.45
GO:0032787	prmt5_down	monocarboxylic acid metabolic process	5e-7	1.65
GO:0071705	prmt5_down	nitrogen compound transport	5.16e-7	1.31
GO:0006066	prmt5_down	alcohol metabolic process	5.17e-7	1.83
GO:0045184	prmt5_down	establishment of protein localization	8.73e-7	1.33
GO:0006694	prmt5_down	steroid biosynthetic process	9e-7	2.42
GO:0046890	prmt5_down	regulation of lipid biosynthetic process	1.04e-6	2.03
GO:0051186	prmt5_down	cofactor metabolic process	1.4e-6	1.61
GO:0006886	prmt5_down	intracellular protein transport	1.95e-6	1.43
GO:0016042	prmt5_down	lipid catabolic process	2.15e-6	1.86
GO:0019752	prmt5_down	carboxylic acid metabolic process	2.91e-6	1.44
GO:0019216	prmt5_down	regulation of lipid metabolic process	3.7e-6	1.66
GO:0000184	prmt5_down	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	7.75e-6	2.13
GO:0090181	prmt5_down	regulation of cholesterol metabolic process	7.66e-6	2.77
GO:0090150	prmt5_down	establishment of protein localization to membrane	7.79e-6	1.74
GO:0032940	prmt5_down	secretion by cell	7.98e-6	1.43
GO:0043436	prmt5_down	oxoacid metabolic process	9.35e-6	1.4
GO:0019083	prmt5_down	viral transcription	1.52e-5	2.1
GO:0050810	prmt5_down	regulation of steroid biosynthetic process	1.66e-5	2.41
