GO_ID	Symbol
GO:0006810	KDELR1
GO:0006810	TTC26
GO:0006810	STARD3
GO:0006810	SLC35G1
GO:0006810	GDI1
GO:0006810	SEC61B
GO:0006810	ERP29
GO:0006810	ACACB
GO:0006810	TMED10
GO:0006810	DHRS4
GO:0006810	SLC8B1
GO:0006810	ACO1
GO:0006810	GLA
GO:0006810	ACOX1
GO:0006810	PLS1
GO:0006810	GJB1
GO:0006810	LOH12CR1
GO:0006810	GJA1
GO:0006810	PLCG2
GO:0006810	B4GALT1
GO:0006810	PLD1
GO:0006810	ATP8B4
GO:0006810	ACOX2
GO:0006810	ACOX3
GO:0006810	CTSA
GO:0006810	PICALM
GO:0006810	ACTN4
GO:0006810	ADAM10
GO:0006810	MALT1
GO:0006810	YIF1A
GO:0006810	FZD4
GO:0006810	PPARG
GO:0006810	PPARD
GO:0006810	USP9X
GO:0006810	ADD3
GO:0006810	ADD1
GO:0006810	MOSPD2
GO:0006810	HPSE
GO:0006810	SNAP47
GO:0006810	GM2A
GO:0006810	PGRMC1
GO:0006810	PRKAA2
GO:0006810	AP1G1
GO:0006810	AP5M1
GO:0006810	CACFD1
GO:0006810	FUCA1
GO:0006810	SRGN
GO:0006810	FUCA2
GO:0006810	ADRBK1
GO:0006810	AGL
GO:0006810	NOSTRIN
GO:0006810	KIF3A
GO:0006810	PPP3CB
GO:0006810	GAA
GO:0006810	PPP3CA
GO:0006810	PCID2
GO:0006810	LMBRD1
GO:0006810	WWP1
GO:0006810	TBC1D23
GO:0006810	RER1
GO:0006810	PPP1R10
GO:0006810	RAPGEF4
GO:0006810	ALAD
GO:0006810	SLC39A7
GO:0006810	ABCD1
GO:0006810	IWS1
GO:0006810	PEX26
GO:0006810	SLC30A6
GO:0006810	PROS1
GO:0006810	KDELR3
GO:0006810	NPLOC4
GO:0006810	ALDOC
GO:0006810	GABRG1
GO:0006810	SLC35D2
GO:0006810	GABRG2
GO:0006810	OSBPL1A
GO:0006810	CDC37L1
GO:0006810	AMBP
GO:0006810	GABRB3
GO:0006810	IFT88
GO:0006810	RAB31
GO:0006810	GRTP1
GO:0006810	LMBR1L
GO:0006810	OSBPL9
GO:0006810	BIN1
GO:0006810	OSBPL5
GO:0006810	NR4A3
GO:0006810	ANXA1
GO:0006810	SLC27A2
GO:0006810	SLC25A4
GO:0006810	TOMM6
GO:0006810	SLC27A3
GO:0006810	ANK3
